name,role,component,layer,dtype,shape,params
model.layers.6.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,6.0,BF16,"(6680, 3072)",20520960
model.layers.6.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,6.0,BF16,"(3072,)",3072
model.layers.6.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,6.0,BF16,"(3072, 3072)",9437184
model.layers.6.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,6.0,BF16,"(3072,)",3072
model.layers.6.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,6.0,BF16,"(256, 3072)",786432
model.layers.6.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,6.0,BF16,"(3072, 1536)",4718592
model.layers.6.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,6.0,BF16,"(1536, 3072)",4718592
model.layers.6.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,6.0,BF16,"(256, 3072)",786432
model.layers.7.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,7.0,BF16,"(3072, 12288)",37748736
model.layers.7.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,7.0,BF16,"(12288, 3072)",37748736
model.layers.7.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,7.0,BF16,"(12288, 3072)",37748736
model.layers.7.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,7.0,BF16,"(3072,)",3072
model.layers.7.mamba.A_log,model.layers.N.mamba.A_log,language model,7.0,BF16,"(24,)",24
model.layers.7.mamba.D,model.layers.N.mamba.D,language model,7.0,BF16,"(24,)",24
model.layers.7.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,7.0,BF16,"(3584,)",3584
model.layers.7.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,7.0,BF16,"(3584, 1, 4)",14336
model.layers.7.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,7.0,BF16,"(24,)",24
model.layers.7.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,7.0,BF16,"(6680, 3072)",20520960
model.layers.7.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,7.0,BF16,"(3072,)",3072
model.layers.7.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,7.0,BF16,"(3072, 3072)",9437184
model.layers.7.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,7.0,BF16,"(3072,)",3072
model.layers.7.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,7.0,BF16,"(256, 3072)",786432
model.layers.7.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,7.0,BF16,"(3072, 1536)",4718592
model.layers.7.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,7.0,BF16,"(1536, 3072)",4718592
model.layers.7.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,7.0,BF16,"(256, 3072)",786432
model.layers.8.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,8.0,BF16,"(3072, 12288)",37748736
model.layers.8.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,8.0,BF16,"(12288, 3072)",37748736
model.layers.8.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,8.0,BF16,"(12288, 3072)",37748736
model.layers.8.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,8.0,BF16,"(3072,)",3072
model.layers.8.mamba.A_log,model.layers.N.mamba.A_log,language model,8.0,BF16,"(24,)",24
model.layers.8.mamba.D,model.layers.N.mamba.D,language model,8.0,BF16,"(24,)",24
model.layers.8.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,8.0,BF16,"(3584,)",3584
model.layers.8.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,8.0,BF16,"(3584, 1, 4)",14336
model.layers.8.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,8.0,BF16,"(24,)",24
model.layers.8.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,8.0,BF16,"(6680, 3072)",20520960
model.layers.8.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,8.0,BF16,"(3072,)",3072
model.layers.8.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,8.0,BF16,"(3072, 3072)",9437184
model.layers.8.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,8.0,BF16,"(3072,)",3072
model.layers.8.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,8.0,BF16,"(256, 3072)",786432
model.layers.8.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,8.0,BF16,"(3072, 1536)",4718592
model.layers.8.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,8.0,BF16,"(1536, 3072)",4718592
model.layers.8.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,8.0,BF16,"(256, 3072)",786432
model.layers.9.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,9.0,BF16,"(3072, 12288)",37748736
model.layers.9.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,9.0,BF16,"(12288, 3072)",37748736
model.layers.9.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,9.0,BF16,"(12288, 3072)",37748736
model.layers.9.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,9.0,BF16,"(3072,)",3072
model.layers.9.mamba.A_log,model.layers.N.mamba.A_log,language model,9.0,BF16,"(24,)",24
model.layers.9.mamba.D,model.layers.N.mamba.D,language model,9.0,BF16,"(24,)",24
model.layers.9.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,9.0,BF16,"(3584,)",3584
model.layers.9.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,9.0,BF16,"(3584, 1, 4)",14336
model.layers.9.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,9.0,BF16,"(24,)",24
model.layers.9.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,9.0,BF16,"(6680, 3072)",20520960
model.layers.9.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,9.0,BF16,"(3072,)",3072
model.layers.9.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,9.0,BF16,"(3072, 3072)",9437184
model.layers.9.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,9.0,BF16,"(3072,)",3072
model.layers.9.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,9.0,BF16,"(256, 3072)",786432
model.layers.9.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,9.0,BF16,"(3072, 1536)",4718592
model.layers.9.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,9.0,BF16,"(1536, 3072)",4718592
model.layers.9.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,9.0,BF16,"(256, 3072)",786432
